Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
48.18,0.09,49.26,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Estimate for private server,Europe (Paris),mon serveur perso,Amazon EC2 ,48.18,0.09,49.26,USD,Tenancy (Shared Instances)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
